year,rowcrop,Orchards,Vineyards,Pastureland,Rangeland,Fodder,Fallow,Greenhouse
2016,70206.6656,13312.73215,29374.68696,2649.638371,580821.4054,3961.141386,3994.433314,1523.612085
2017,68748.90109,13512.60393,30088.22151,2321.088694,579435.6216,4276.663394,4840.149861,1658.495783
2018,67291.13658,13712.47571,30801.75606,1992.539018,578049.8378,4592.185403,5685.866408,1793.37948
2019,65833.37207,13912.34748,31515.29061,1663.989341,576664.0541,4907.707411,6531.582954,1928.263178
2020,64375.60756,14112.21926,32228.82516,1335.439665,575278.2703,5223.229419,7377.299501,2063.146876
2021,62917.84305,14312.09104,32942.35971,1006.889989,573892.4865,5538.751427,8223.016048,2198.030573
2022,61460.07854,14511.96282,33655.89426,678.3403121,572506.7027,5854.273436,9068.732595,2332.914271
2023,60002.31403,14711.83459,34369.42881,349.7906357,571120.9189,6169.795444,9914.449142,2467.797968
2024,58544.54952,14911.70637,35082.96336,21.24095927,569735.1351,6485.317452,10760.16569,2602.681666
2025,57086.78501,15111.57815,35796.49791,0,568349.3514,6800.839461,11605.88224,2737.565364
2026,55629.0205,15311.44992,36510.03246,0,566963.5676,7116.361469,12451.59878,2872.449061
2027,54171.25599,15511.3217,37223.56701,0,565577.7838,7431.883477,13297.31533,3007.332759
2028,52713.49148,15711.19348,37937.10156,0,564192,7747.405486,14143.03188,3142.216457
2029,51255.72696,15911.06525,38650.63611,0,562806.2162,8062.927494,14988.74842,3277.100154
2030,49797.96245,16110.93703,39364.17066,0,561420.4324,8378.449502,15834.46497,3411.983852
