year,rowcrop,Orchards,Vineyards,Pastureland,Rangeland,Fodder,Fallow,Greenhouse
2016,1046374.531,331211.798,515123.6236,50931.68005,14832877.23,72753.4855,50289.20723,16361.07132
2017,1032949.063,336608.0944,526824.483,46687.37338,14797487.41,80246.58165,60504.60111,16676.50124
2018,1019523.594,342004.3909,538525.3424,42443.06671,14762097.6,87739.6778,70719.995,16991.93116
2019,1006098.125,347400.6874,550226.2018,38198.76004,14726707.79,95232.77395,80935.38888,17307.36108
2020,992672.6562,352796.9838,561927.0612,33954.45337,14691317.98,102725.8701,91150.78276,17622.79099
2021,979247.1875,358193.2803,573627.9206,29710.1467,14655928.16,110218.9662,101366.1766,17938.22091
2022,965821.7187,363589.5768,585328.78,25465.84003,14620538.35,117712.0624,111581.5705,18253.65083
2023,952396.2499,368985.8732,597029.6394,21221.53336,14585148.54,125205.1585,121796.9644,18569.08075
2024,938970.7811,374382.1697,608730.4988,16977.22668,14549758.73,132698.2547,132012.3583,18884.51067
2025,925545.3123,379778.4662,620431.3582,12732.92001,14514368.91,140191.3508,142227.7522,19199.94059
2026,912119.8435,385174.7626,632132.2176,8488.613342,14478979.1,147684.447,152443.146,19515.37051
2027,898694.3747,390571.0591,643833.077,4244.306671,14443589.29,155177.5431,162658.5399,19830.80043
2028,885268.9059,395967.3556,655533.9364,9.09495E-12,14408199.47,162670.6393,172873.9338,20146.23035
2029,871843.4371,401363.652,667234.7958,0,14372809.66,170163.7354,183089.3277,20461.66027
2030,858417.9683,406759.9485,678935.6552,0,14337419.85,177656.8316,193304.7216,20777.09019
