year,acres,practice,carbon,new
2020,100,a,0.5,50
2021,101,a,0.5,50.5
2022,102,a,0.5,51
2023,103,a,0.5,51.5
2024,104,a,0.5,52
2025,105,a,0.5,52.5
2026,106,a,0.5,53
2027,107,a,0.5,53.5
2028,108,a,0.5,54
2029,109,a,0.5,54.5
2030,110,a,0.5,55
2020,100,b,1.5,150
2021,101,b,1.5,151.5
2022,102,b,1.5,153
2023,103,b,1.5,154.5
2024,104,b,1.5,156
2025,105,b,1.5,157.5
2026,106,b,1.5,159
2027,107,b,1.5,160.5
2028,108,b,1.5,162
2029,109,b,1.5,163.5
2030,110,b,1.5,165
2020,100,c,5,500
2021,101,c,5,505
2022,102,c,5,510
2023,103,c,5,515
2024,104,c,5,520
2025,105,c,5,525
2026,106,c,5,530
2027,107,c,5,535
2028,108,c,5,540
2029,109,c,5,545
2030,110,c,5,550
