Scenarios,,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Baseline,,16.79428778,16.77663948,16.75899118,16.74134287,16.72369457,16.70604627,16.68839796,16.67074966,16.65310136,16.63545305,16.61780475,16.60015645,16.58250814,16.56910415,16.55570015
Reduced Till - Low,,,,,,,16.70607421,16.6884816,16.67091652,16.65337877,16.63586815,16.61838446,16.60092748,16.58349701,16.57033715,16.55720339
Reduced Till - High,,,,,,,16.70610216,16.68856523,16.67108338,16.65365619,16.63628326,16.61896416,16.6016985,16.58448587,16.57157015,16.55870664
Restoration - Low,,,,,,,16.70618064,16.68879992,16.67155125,16.65443347,16.63744624,16.62058881,16.60386037,16.58726011,16.57503153,16.56292952
Restoration - High,,,,,,,16.70631501,16.68920187,16.67235284,16.65576557,16.63943943,16.62337287,16.60756429,16.59201207,16.58095891,16.57015889
Mulching - Low,,,,,,,16.7061543,16.6887233,16.67140277,16.65419395,16.63709806,16.62011631,16.60324994,16.58650017,16.57411252,16.56184391
Mulching - High,,,,,,,16.70626234,16.68904863,16.67205588,16.65528654,16.63874306,16.62242787,16.60634344,16.59049219,16.57912089,16.56798766
Cover Crops - Low,,,,,,,16.70635991,16.68934411,16.6726524,16.65629001,16.64026216,16.62457408,16.60923098,16.5942381,16.58384497,16.5738125
Cover Crops - High,,,,,,,16.70667355,16.69029026,16.67455515,16.65947867,16.64507127,16.6313434,16.61830552,16.60596806,16.59858579,16.59192486
Hedgerow - Low,,,,,,,16.70778284,16.69359284,16.68110974,16.6703187,16.66121519,16.65378934,16.64803073,16.64392891,16.64571778,16.64914258
Hedgerow - High,,,,,,,16.70951941,16.69878771,16.69146981,16.68753604,16.68697732,16.68977393,16.69590501,16.70534969,16.72233141,16.74258502
Compost High N - Low,,,,,,,16.70733177,16.69224031,16.67840603,16.66581474,16.65445937,16.64432916,16.63541296,16.62769964,16.62542236,16.62432568
Compost High N - High,,,,,,,16.70861728,16.69608267,16.6860624,16.67852813,16.67346569,16.67085356,16.67066948,16.67289114,16.68174058,16.69295121
Compost Low N - Low,,,,,,,16.70916123,16.69771716,16.68933664,16.68399399,16.68168193,16.68238364,16.68608131,16.69275711,16.70663753,16.72346043
Compost Low N - High,,,,,,,16.7122762,16.70703635,16.70792363,16.71488663,16.7279108,16.74696253,16.77200617,16.80300607,16.84417091,16.89122072
