year,variable,land_class,value
2030,acres,Fallow,18821.17284074356
2030,acres,Fodder,10066.5377757299
2030,acres,Greenhouse,3411.9838519024197
2030,acres,Orchard,17733.039488710114
2030,acres,Pastureland,-1950.0570993531728
2030,acres,Row Crop,52301.43850299157
2030,acres,Vineyard,40163.97030833713
2030,acres,Rangeland,561420.4324324289
2030,abvgc,Fallow,0
2030,abvgc,Fodder,10273.443947618594
2030,abvgc,Greenhouse,0
2030,abvgc,Orchard,134965.99167567678
2030,abvgc,Pastureland,-2391.1109447826166
2030,abvgc,Row Crop,40707.3389774831
2030,abvgc,Vineyard,46198.97160810931
2030,abvgc,Rangeland,8303195.901873872
2030,soilc,Fallow,193304.72156997398
2030,soilc,Fodder,167383.38764336146
2030,soilc,Greenhouse,20777.09019008081
2030,soilc,Orchard,271793.9568381123
2030,soilc,Pastureland,-17238.404125222936
2030,soilc,Row Crop,817710.6293310113
2030,soilc,Vineyard,632736.6835792027
2030,soilc,Rangeland,5916652.0324672125
2030,noemit,Fallow,9.723708843293764
2030,noemit,Fodder,1015.5364102394815
2030,noemit,Greenhouse,41.10662806232085
2030,noemit,Orchard,4504.437357051676
2030,noemit,Pastureland,-237.37147032731446
2030,noemit,Row Crop,20215.06209716713
2030,noemit,Vineyard,2423.100799926251
2030,noemit,Rangeland,0
2030,abvgc,Total (all classes),8532950.537137978
2030,acres,Total (all classes),701968.5181014905
2030,noemit,Total (all classes),27971.59553096284
2030,soilc,Total (all classes),8003120.097493732
2030,total_stock,Fallow,193304.72156997398
2030,total_stock,Fodder,177656.83159098006
2030,total_stock,Greenhouse,20777.09019008081
2030,total_stock,Orchard,406759.9485137891
2030,total_stock,Pastureland,-19629.515070005553
2030,total_stock,Rangeland,14219847.934341084
2030,total_stock,Row Crop,858417.9683084944
2030,total_stock,Total (all classes),16536070.63463171
2030,total_stock,Vineyard,678935.655187312
2012,acres,Fallow,1311.860637509266
2012,abvgc,Fallow,0
2012,soilc,Fallow,18845.719407
2012,noemit,Fallow,0
2012,acres,Fodder,2836.100815418829
2012,abvgc,Fodder,3477.5554533782397
2012,soilc,Fodder,42371.377821
2012,noemit,Fodder,308.6134925265111
2012,acres,Greenhouse,806.8198665678281
2012,abvgc,Greenhouse,0
2012,soilc,Greenhouse,13797.656613
2012,noemit,Greenhouse,0
2012,acres,Orchard,12304.225352112677
2012,abvgc,Orchard,103076.06399999997
2012,soilc,Orchard,202871.442717
2012,noemit,Orchard,2578.853713000565
2012,acres,Pastureland,4010.303928836175
2012,abvgc,Pastureland,4917.333763880639
2012,soilc,Pastureland,65780.2872
2012,noemit,Pastureland,436.3857218482377
2012,acres,Row Crop,73620.31134173462
2012,abvgc,Row Crop,60180.915477093215
2012,soilc,Row Crop,1009446.1933139997
2012,noemit,Row Crop,28642.95231962424
2012,acres,Vineyard,26640.17790956264
2012,abvgc,Vineyard,31265.711999999963
2012,soilc,Vineyard,435896.01215100003
2012,noemit,Vineyard,1575.4787235371641
