year,variable,land_class,value
2012,acres,Fallow,4057.6723498888064
2012,abvgc,Fallow,0
2012,soilc,Fallow,235189.27613709
2012,noemit,Fallow,0
2012,net,Fallow,235189.27613709
2012,acres,Fodder,13828.24314306894
2012,abvgc,Fodder,25183.304996978004
2012,soilc,Fodder,927278.9113523399
2012,noemit,Fodder,859.849025049165
2012,net,Fodder,951602.3673242688
2012,acres,Greenhouse,806.8198665678281
2012,abvgc,Greenhouse,0
2012,soilc,Greenhouse,50637.39976971
2012,noemit,Greenhouse,0
2012,net,Greenhouse,50637.39976971
2012,acres,Orchard,12710.971089696071
2012,abvgc,Orchard,390794.41196999996
2012,soilc,Orchard,773028.8441181
2012,noemit,Orchard,1533.6237289036308
2012,net,Orchard,1162289.6323591962
2012,acres,Pastureland,4782.431430689399
2012,abvgc,Pastureland,0
2012,soilc,Pastureland,283496.5091574
2012,noemit,Pastureland,11.17315598397782
2012,net,Pastureland,283485.336001416
2012,acres,Row Crop,78032.02372127502
2012,abvgc,Row Crop,94687.83690840026
2012,soilc,Row Crop,3974855.7023308803
2012,noemit,Row Crop,16906.940185810778
2012,net,Row Crop,4052636.5990534695
2012,acres,Vineyard,27371.386212008896
2012,abvgc,Vineyard,117894.63959999998
2012,soilc,Vineyard,1651443.51173067
2012,noemit,Vineyard,932.6287530275597
2012,net,Vineyard,1768405.5225776422
2016,acres,Fallow,10115.715344699778
2016,abvgc,Fallow,0
2016,soilc,Fallow,276669.09387359995
2016,noemit,Fallow,10.565468327348158
2016,net,Fallow,276658.5284052726
2016,acres,Fodder,27043.143068939957
2016,abvgc,Fodder,44598.59999464817
2016,soilc,Fodder,1879747.6255413303
2016,noemit,Fodder,1632.8526750985625
2016,net,Fodder,1922713.37286088
2016,acres,Greenhouse,1937.2127501853224
2016,abvgc,Greenhouse,0
2016,soilc,Greenhouse,71191.98013203
2016,noemit,Greenhouse,44.56982383314936
2016,net,Greenhouse,71147.41030819685
2016,acres,Orchard,16423.054114158636
2016,abvgc,Orchard,435345.6723299999
2016,soilc,Orchard,847164.5167095901
2016,noemit,Orchard,1981.3067595937177
2016,net,Orchard,1280528.8822799963
2016,acres,Row Crop,87138.54707190511
2016,abvgc,Row Crop,100794.11811120028
2016,soilc,Row Crop,4268834.29477089
2016,noemit,Row Crop,19065.178896647547
2016,net,Row Crop,4350563.233985443
2016,acres,Vineyard,30925.352112676057
2016,abvgc,Vineyard,128044.23011999998
2016,soilc,Vineyard,1819934.71941438
2016,noemit,Vineyard,1123.6921853740034
2016,net,Vineyard,1946855.257349006
2019,acres,Fallow,8027.279466271312
2019,abvgc,Fallow,0
2019,soilc,Fallow,362118.31416891003
2019,noemit,Fallow,0
2019,net,Fallow,362118.31416891003
2019,acres,Fodder,25113.269088213492
2019,abvgc,Fodder,45735.029994511795
2019,soilc,Fodder,1899782.8770963603
2019,noemit,Fodder,1561.5591740676714
2019,net,Fodder,1943956.3479168045
2019,acres,Greenhouse,1691.9199406968125
2019,abvgc,Greenhouse,0
2019,soilc,Greenhouse,57148.38748836
2019,noemit,Greenhouse,0
2019,net,Greenhouse,57148.38748836
2019,acres,Orchard,13633.654558932543
2019,abvgc,Orchard,419161.9962599999
2019,soilc,Orchard,837795.4374097801
2019,noemit,Orchard,1853.481321904332
2019,net,Orchard,1255103.9523478756
2019,acres,Pastureland,2360.859896219422
2019,abvgc,Pastureland,0
2019,soilc,Pastureland,161152.93080009
2019,noemit,Pastureland,146.79978208652045
2019,net,Pastureland,161006.13101800348
2019,acres,Row Crop,68716.6790214974
2019,abvgc,Row Crop,83384.14647960023
2019,soilc,Row Crop,3671360.71114293
2019,noemit,Row Crop,14895.752117980364
2019,net,Row Crop,3739849.10550455
2019,acres,Vineyard,31766.86434395849
2019,abvgc,Vineyard,136826.94014999998
2019,soilc,Vineyard,1883545.6617745198
2019,noemit,Vineyard,1073.523909365122
2019,net,Vineyard,2019299.0780151547
2012,acres,Rangeland,584125
2012,abvgc,Rangeland,39319526.6916052
2012,soilc,Rangeland,19630526.612318065
2012,noemit,Rangeland,0
2012,net,Rangeland,58950053.303923264
2016,acres,Rangeland,586047
2016,abvgc,Rangeland,39448903.332394876
2016,soilc,Rangeland,19695118.732410297
2016,noemit,Rangeland,0
2016,net,Rangeland,59144022.06480517
2019,acres,Rangeland,573678
2019,abvgc,Rangeland,38616302.047312975
2019,soilc,Rangeland,19279437.18536512
2019,noemit,Rangeland,0
2019,net,Rangeland,57895739.2326781
2012,abvgc,total_allclasses,39948086.88508058
2016,abvgc,total_allclasses,40157685.95295072
2019,abvgc,total_allclasses,39301410.16019709
2012,acres,total_allclasses,725714.5478131949
2016,acres,total_allclasses,759630.0244625648
2019,acres,total_allclasses,724988.5263157894
2012,net,total_allclasses,67454299.43714605
2016,net,total_allclasses,68992488.74999397
2019,net,total_allclasses,67434220.54913776
2012,noemit,total_allclasses,20244.21484877511
2016,noemit,total_allclasses,23858.165808874328
2019,noemit,total_allclasses,19531.11630540401
2012,soilc,total_allclasses,27526456.766914256
2016,soilc,total_allclasses,28858660.962852117
2019,soilc,total_allclasses,28152341.505246073
