Landcover Classification,Total Aboveground Carbon (MT CO2e),Total Soil Carbon (MTCO2e),Total NO Emissions (MT CO2e),"Total Net, Stocks Minus Emissions (MTCO2e)",Acres
Barren,0,328982.56185276,0,328982.56185276,22169.97776130467
Developed,8574452.392189503,3611201.1517308606,0,12185653.543920364,74642.84655300222
Fallow,7286.087699999998,471815.42006420996,10.565468327348158,479090.94229588256,10115.715344699778
Fodder,68476.2255591674,2002762.0757331902,1632.8526750985625,2069605.448617259,27043.143068939957
Forest,42887004.604265176,10089427.692005184,0,52976432.296270356,295328.5396590067
Grassland,2411436.0664315796,12172716.222795265,0,14584152.289226845,234716.08598962193
Greenhouse,0,71191.98013203,44.56982383314936,71147.41030819685,1937.2127501853224
Orchard,490404.3768359999,962727.9317414102,2297.4690765523114,1450834.8395008577,16423.054114158636
Pastureland,0,295138.76722641,238.64914854424126,294900.11807786574,4370.126019273536
Riparian/Wetland,152598.75005529,382736.69207532,0,535335.44213061,14548.554484803559
Row Crop,100794.11811120028,4437727.042351319,20164.222080244148,4518356.938382276,87138.54707190511
Shrubland,67806739.76606232,22884159.719775427,0,90690899.48583774,808434.6182357302
Vineyard,128044.23011999998,1887144.81972048,1164.162109081037,2014024.887731399,30925.352112676057
Water,0,30105.454536089997,0,30105.454536089997,4368.569310600445
Total,122627236.61733024,59627837.53173996,25552.490381680796,182229521.65868852,1632162.342475908
